title,company,location,work_mode,job_type,skills,salary_avg,date_posted,experience_level,education,source,job_url,salary_min,salary_max,role,country
Data Scientist,Microsoft,"Redmond, Washington, United States",onsite,fulltime,,114100.0,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-microsoft-united-states-21/,76400.0,151800.0,Data Scientist,United States
Engineering Data Scientist,Caterpillar Inc.,"Peterborough, Cambridgeshire, United Kingdom",onsite,fulltime,,,2026-03-09 00:00:00+00:00,mid-level,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/engineering-data-scientist-caterpillar-inc-united-kingdom-7/,,,Data Scientist,United Kingdom
Data Scientist - Computer Vision,Lilly,"Indianapolis, Indiana, United States",onsite,fulltime,,,2026-03-09 00:00:00+00:00,mid-level,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-lilly-united-states-4/,,,Data Scientist,United States
Data Scientist,Lilly,"Sesto Fiorentino, Firenze, Italy",onsite,fulltime,,,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-lilly-italy-3/,,,Data Scientist,Italy
"Data Scientist, App Platform",Apple,"Santa Clara, California, United States",onsite,fulltime,,186900.0,2026-03-09 00:00:00+00:00,mid-level,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-app-platform-apple-united-states-27/,132300.0,241500.0,Data Scientist,United States
Security Analytics Data Scientist,TikTok,"New York, New York, United States",onsite,fulltime,,208500.0,2026-03-09 00:00:00+00:00,mid-level,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/security-analytics-data-scientist-tiktok-united-states-30/,147200.0,269800.0,Data Scientist,United States
Data Scientist,Amazon,"Seattle, Washington, United States",onsite,fulltime,,162200.0,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-amazon-united-states-25/,111600.0,212800.0,Data Scientist,United States
Data Scientist II,Cleveland Clinic,"Cleveland, Ohio, United States",onsite,fulltime,,46.0,2026-03-09 00:00:00+00:00,mid-level,Bachelors in <field>,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-ii-cleveland-clinic-united-states-2/,36.0,56.0,Data Scientist,United States
Senior Data Scientist,Walmart,"Sunnyvale, California, United States",onsite,fulltime,,175500.0,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-scientist-walmart-united-states-21/,117000.0,234000.0,Data Scientist,United States
Data Scientist,Criterion Systems,"Reston, Virginia, United States",onsite,fulltime,,,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-criterion-systems-united-states-1/,,,Data Scientist,United States
